Genere Anni Matematica Italiano Logica Test Totale CDL 
M 19 11.15 13.37 22.24 46.76 60.704 "ECONOMIA AZIENDALE"
F 19 17.79 24.89 14.68 57.36 60.744 "MARKETING E GEST. IMPRESE"
F 19 20.47 14.68 17.81 52.96 60.784 "ECONOMIA AZIENDALE"
M 20 19.13 15.59 13.81 48.53 60.812 "ECONOMIA E FINANZA"
M 34 14.23 20.03 20.47 54.72 60.888 "ECONOMIA AZIENDALE"
M 19 13.35 11.57 16.45 41.37 60.948 "ECONOMIA E FINANZA"
F 19 20.45 14.25 21.79 56.49 60.996 "MARKETING E GEST. IMPRESE"
M 19 21.35 13.81 24.45 59.61 61.044 "ECONOMIA AZIENDALE"
F 19 15.15 10.27 10.27 35.68 61.072 "MARKETING E GEST. IMPRESE"
F 20 13.83 10.71 26.24 50.77 61.108 "ECONOMIA GEST. SERV. TURISTICI"
M 19 19.13 6.68 11.57 37.39 61.156 "MARKETING E GEST. IMPRESE"
F 19 -3.47 15.6 10.28 22.41 61.164 "ECONOMIA AZIENDALE"
F 20 8.91 -0.41 12.48 20.97 61.188 "ECONOMIA E FINANZA"
M 20 16.92 18.69 16.92 52.53 61.212 "CONSULENZA AZ.LE E GIURIDICA"
M 19 23.12 12.48 12.47 48.07 61.228 "ECONOMIA AZIENDALE"
M 20 26.68 9.8 11.6 48.08 61.232 "MARKETING E GEST. IMPRESE"
M 19 30.67 5.36 15.13 51.16 61.264 "CONSULENZA AZ.LE E GIURIDICA"
F 20 14.71 15.6 20.92 51.23 61.292 "AMMINISTRAZIONE E CONTROLLO"
M 21 14.23 -0.84 16.91 30.29 61.316 "ECONOMIA E FINANZA"
F 19 10.23 19.57 15.57 45.37 61.348 "MARKETING E GEST. IMPRESE"
M 19 22.23 16.92 21.35 60.49 61.396 "ECONOMIA AZIENDALE"
F 19 9.36 7.59 7.59 24.53 61.412 ECONOMIA
M 19 25.79 8.89 21.35 56.03 61.412 "ECONOMIA E FINANZA"
F 23 13.36 17.36 8.91 39.63 61.452 "ECONOMIA E FINANZA"
M 19 26.68 15.57 12.47 54.72 61.488 "ECONOMIA AZIENDALE"
M 19 10.28 12.05 8.51 30.84 61.536 "ECONOMIA AZIENDALE"
M 19 12.92 17.36 15.59 45.87 61.548 "MARKETING E GEST. IMPRESE"
F 41 6.69 19.13 23.13 48.96 61.584 "CONSULENZA AZ.LE E GIURIDICA"
F 19 19.57 11.6 13.36 44.53 61.612 "MARKETING E GEST. IMPRESE"
F 19 13.36 6.27 20.47 40.09 61.636 "ECONOMIA E FINANZA"
M 19 9.36 21.35 11.12 41.83 61.732 "ECONOMIA E FINANZA"
M 20 23.56 9.79 19.12 52.47 61.788 "MARKETING E GEST. IMPRESE"
M 20 8.03 20.45 12.01 40.49 61.796 "MARKETING E GEST. IMPRESE"
F 20 11.56 20.47 20.47 52.49 61.796 "ECONOMIA AZIENDALE"
M 20 8.03 14.69 17.81 40.53 61.812 "MARKETING E GEST. IMPRESE"
F 23 20.92 8.51 9.81 39.24 61.896 "ECONOMIA GEST. SERV. TURISTICI"
F 19 11.13 12.49 11.15 34.77 61.908 "MARKETING E GEST. IMPRESE"
F 19 14.71 8.05 12.05 34.81 61.924 "ECONOMIA AZIENDALE"
F 19 12.91 9.81 19.59 42.31 61.924 "AMMINISTRAZIONE E CONTROLLO"
M 20 22.23 11.6 8.48 42.31 61.924 ECONOMIA
F 19 17.37 14.71 22.24 54.32 61.928 "ECONOMIA AZIENDALE"
F 18 19.13 22.23 20.47 61.83 61.932 "ECONOMIA AZIENDALE"
F 19 16.47 18.24 15.12 49.83 61.932 "MARKETING E GEST. IMPRESE"
F 23 27.12 10.25 12.49 49.87 61.948 "ECONOMIA AZIENDALE"
M 19 16.47 9.37 19.59 45.43 61.972 "MARKETING E GEST. IMPRESE"
F 19 16.03 12.04 16.03 44.09 62.036 "MARKETING E GEST. IMPRESE"
F 19 14.71 3.16 14.27 32.13 62.052 "ECONOMIA E FINANZA"
M 19 17.37 16.04 13.83 47.24 62.096 "MARKETING E GEST. IMPRESE"
F 19 20.01 10.68 19.59 50.28 62.112 "CONSULENZA AZ.LE E GIURIDICA"
M 19 11.59 4.47 16.47 32.52 62.208 ECONOMIA
M 19 13.36 13.83 12.89 40.08 62.232 "MARKETING E GEST. IMPRESE"
M 22 6.71 12.49 16.48 35.68 62.272 "MARKETING E GEST. IMPRESE"
F 19 21.8 17.36 23.57 62.73 62.292 "ECONOMIA AZIENDALE"
F 19 21.36 13.83 15.6 50.79 62.316 "MARKETING E GEST. IMPRESE"
F 19 24.47 8.49 16.48 49.44 62.376 ECONOMIA
M 19 20.89 12.01 15.12 48.03 62.412 "MARKETING E GEST. IMPRESE"
M 19 12.03 9.36 14.69 36.08 62.432 "ECONOMIA E FINANZA"
M 19 14.69 20.91 15.57 51.17 62.468 "ECONOMIA E FINANZA"
M 19 16.47 21.36 16.45 54.28 62.512 "ECONOMIA AZIENDALE"
M 19 16.48 20.03 17.81 54.32 62.528 "ECONOMIA AZIENDALE"
M 19 17.36 20.92 16.04 54.32 62.528 "ECONOMIA AZIENDALE"
F 19 29.79 10.69 21.36 61.84 62.536 "ECONOMIA E FINANZA"
M 19 10.23 1.35 5.35 16.92 62.568 "ECONOMIA AZIENDALE"
M 19 19.59 9.39 22.69 51.67 62.668 "ECONOMIA E FINANZA"
M 20 16.48 15.15 15.6 47.23 62.692 ECONOMIA
F 19 19.57 19.15 23.56 62.28 62.712 "MARKETING E GEST. IMPRESE"
M 22 16.92 18.69 13.37 48.99 62.796 "MARKETING E GEST. IMPRESE"
M 21 12.91 8.95 10.72 32.57 62.828 "ECONOMIA GEST. SERV. TURISTICI"
F 19 13.8 4.03 16.48 34.31 62.924 "ECONOMIA AZIENDALE"
F 19 20.45 16.92 9.36 46.73 63.092 "ECONOMIA AZIENDALE"
M 19 23.13 16.48 26.68 66.29 63.116 "MARKETING E GEST. IMPRESE"
M 19 21.79 11.57 16.47 49.83 63.132 "ECONOMIA E FINANZA"
M 19 21.79 11.57 16.47 49.83 63.132 "ECONOMIA GEST. SERV. TURISTICI"
M 19 17.81 16.48 28.01 62.31 63.324 "ECONOMIA AZIENDALE"
M 20 16.47 13.81 27.56 57.84 63.336 "ECONOMIA E FINANZA"
F 19 14.69 17.36 13.81 45.87 63.348 "MARKETING E GEST. IMPRESE"
M 19 22.68 11.12 27.12 60.92 63.368 "ECONOMIA E FINANZA"
M 19 10.71 8.03 18.25 36.99 63.396 "MARKETING E GEST. IMPRESE"
M 19 19.15 15.6 19.15 53.89 63.556 "ECONOMIA AZIENDALE"
F 19 16.01 5.8 15.57 37.39 63.556 "ECONOMIA AZIENDALE"
F 19 26.24 8.51 10.28 45.03 63.612 "CONSULENZA AZ.LE E GIURIDICA"
F 19 13.79 16.03 18.25 48.07 63.628 "AMMINISTRAZIONE E CONTROLLO"
M 19 20.03 24.47 18.69 63.19 63.676 "CONSULENZA AZ.LE E GIURIDICA"
F 19 11.15 14.69 13.37 39.21 63.684 "MARKETING E GEST. IMPRESE"
F 20 14.69 4.49 15.59 34.77 63.708 "ECONOMIA GEST. SERV. TURISTICI"
F 19 9.8 18.24 14.25 42.29 63.716 "MARKETING E GEST. IMPRESE"
M 19 20.47 17.36 4.49 42.32 63.728 "ECONOMIA AZIENDALE"
M 19 20.47 17.36 4.49 42.32 63.728 "ECONOMIA GEST. SERV. TURISTICI"
M 19 19.15 10.72 24.47 54.33 63.732 "MARKETING E GEST. IMPRESE"
F 19 15.57 14.24 20.01 49.83 63.732 "ECONOMIA AZIENDALE"
F 19 17.35 20.47 12.03 49.84 63.736 "MARKETING E GEST. IMPRESE"
M 19 21.36 14.24 26.24 61.84 63.736 "MARKETING E GEST. IMPRESE"
F 19 14.27 14.27 13.83 42.36 63.744 "MARKETING E GEST. IMPRESE"
F 19 11.13 16.01 18.23 45.37 63.748 ECONOMIA
F 19 12.49 16.48 8.95 37.92 63.768 "ECONOMIA E FINANZA"
F 19 8.51 15.6 13.83 37.93 63.772 "ECONOMIA E FINANZA"
F 19 21.36 22.69 20.92 64.97 63.788 "AMMINISTRAZIONE E CONTROLLO"
F 19 8.03 16.92 11.59 36.53 63.812 "AMMINISTRAZIONE E CONTROLLO"
F 19 19.13 10.71 17.37 47.21 63.884 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.89 10.68 17.8 53.37 63.948 ECONOMIA
M 19 17.36 14.69 13.81 45.87 63.948 "ECONOMIA AZIENDALE"
M 19 24.91 19.15 24.47 68.52 64.008 "ECONOMIA AZIENDALE"
F 19 18.23 10.24 14.69 43.16 64.064 "MARKETING E GEST. IMPRESE"
F 19 16.45 14.71 24.01 55.17 64.068 "ECONOMIA GEST. SERV. TURISTICI"
F 19 12.47 14.71 16.04 43.21 64.084 "ECONOMIA AZIENDALE"
M 19 22.24 18.25 22.24 62.73 64.092 "ECONOMIA AZIENDALE"
F 19 22.24 19.59 16.48 58.31 64.124 "MARKETING E GEST. IMPRESE"
M 20 24.91 9.79 22.24 56.93 64.172 "MARKETING E GEST. IMPRESE"
F 19 11.57 13.83 19.59 44.99 64.196 "ECONOMIA GEST. SERV. TURISTICI"
M 19 24.01 12.92 11.16 48.09 64.236 "AMMINISTRAZIONE E CONTROLLO"
M 19 16.91 17.36 20.03 54.29 64.316 "ECONOMIA AZIENDALE"
M 19 24.45 13.81 16.03 54.29 64.316 "ECONOMIA E FINANZA"
F 20 8.04 11.59 13.81 33.44 64.376 "CONSULENZA AZ.LE E GIURIDICA"
F 19 12.92 12.04 16.03 40.99 64.396 ECONOMIA
F 20 27.12 8.01 28.45 63.59 64.436 "MARKETING E GEST. IMPRESE"
M 19 16.92 22.68 24.01 63.61 64.444 "MARKETING E GEST. IMPRESE"
F 19 12.48 10.24 24.45 47.17 64.468 "MARKETING E GEST. IMPRESE"
M 19 28.45 17.81 24.91 71.17 64.468 ECONOMIA
F 19 24.45 16.91 13.35 54.71 64.484 "MARKETING E GEST. IMPRESE"
F 19 17.35 12.93 12.49 42.77 64.508 "MARKETING E GEST. IMPRESE"
F 20 15.57 3.57 19.12 38.27 64.508 "MARKETING E GEST. IMPRESE"
F 19 17.35 12.93 12.49 42.77 64.508 "ECONOMIA GEST. SERV. TURISTICI"
M 19 22.69 6.73 12.05 41.48 64.592 "MARKETING E GEST. IMPRESE"
M 19 33.33 14.25 20.92 68.51 64.604 "ECONOMIA AZIENDALE"
M 19 22.68 22.24 5.79 50.71 64.684 ECONOMIA
M 19 19.13 6.24 8.92 34.29 64.716 "ECONOMIA AZIENDALE"
M 19 9.8 20.01 9.35 39.16 64.864 "MARKETING E GEST. IMPRESE"
F 19 14.25 14.69 22.24 51.19 64.876 "MARKETING E GEST. IMPRESE"
F 19 20.03 18.25 19.13 57.41 64.964 "ECONOMIA E FINANZA"
M 19 21.8 9.36 24.91 56.07 65.028 "ECONOMIA AZIENDALE"
M 19 13.37 4.96 13.83 32.16 65.064 "CONSULENZA AZ.LE E GIURIDICA"
F 19 16.47 16.48 21.79 54.73 65.092 "ECONOMIA E FINANZA"
F 19 16.47 15.13 14.27 45.87 65.148 "ECONOMIA AZIENDALE"
M 19 26.68 16.47 17.81 60.96 65.184 "ECONOMIA AZIENDALE"
M 19 27.12 14.68 22.24 64.04 65.216 "MARKETING E GEST. IMPRESE"
F 19 20.91 14.24 16.92 52.07 65.228 "MARKETING E GEST. IMPRESE"
M 19 23.57 18.25 22.24 64.07 65.228 "ECONOMIA AZIENDALE"
M 19 19.15 17.37 15.6 52.12 65.248 "ECONOMIA E FINANZA"
M 19 22.24 12.49 24.91 59.64 65.256 "ECONOMIA AZIENDALE"
F 19 16.04 12.93 14.27 43.24 65.296 "CONSULENZA AZ.LE E GIURIDICA"
F 19 24.01 12.47 21.8 58.28 65.312 ECONOMIA
M 19 18.25 15.59 24.47 58.31 65.324 "MARKETING E GEST. IMPRESE"
F 19 18.68 14.27 13.37 46.32 65.328 "MARKETING E GEST. IMPRESE"
F 19 17.37 7.15 17.37 41.89 65.356 "ECONOMIA E FINANZA"
F 19 16.48 22.69 12.05 51.23 65.492 "MARKETING E GEST. IMPRESE"
M 20 14.68 14.71 24.91 54.29 65.516 "AMMINISTRAZIONE E CONTROLLO"
F 19 25.35 26.68 21.8 73.83 65.532 ECONOMIA
F 20 8.03 14.71 10.68 33.41 65.564 ECONOMIA
F 20 8.03 14.71 10.68 33.41 65.564 "ECONOMIA GEST. SERV. TURISTICI"
M 20 20.89 8.45 11.57 40.92 65.568 "ECONOMIA E FINANZA"
F 19 21.36 13.81 17.81 52.99 65.596 "ECONOMIA AZIENDALE"
F 20 22.24 8.51 17.81 48.56 65.624 "ECONOMIA GEST. SERV. TURISTICI"
F 19 14.27 14.27 6.73 35.27 65.708 "MARKETING E GEST. IMPRESE"
F 19 22.68 17.8 21.8 62.28 65.712 "MARKETING E GEST. IMPRESE"
F 19 13.79 12.91 14.68 41.37 65.748 "MARKETING E GEST. IMPRESE"
M 19 17.81 11.59 12.04 41.44 65.776 "MARKETING E GEST. IMPRESE"
F 19 13.79 21.36 13.81 48.96 65.784 "MARKETING E GEST. IMPRESE"
F 19 13.83 15.6 12.05 41.48 65.792 "ECONOMIA GEST. SERV. TURISTICI"
F 19 26.23 16.48 13.8 56.51 65.804 ECONOMIA
M 19 20.03 16.47 23.13 59.63 65.852 "ECONOMIA AZIENDALE"
M 19 25.79 19.59 23.56 68.93 65.972 "ECONOMIA E FINANZA"
F 19 29.79 17.35 21.8 68.93 65.972 "ECONOMIA AZIENDALE"
M 19 23.13 19.15 26.68 68.96 65.984 "MARKETING E GEST. IMPRESE"
M 19 20.47 13.37 18.69 52.53 66.012 "ECONOMIA E FINANZA"
M 19 16.03 15.6 8.93 40.56 66.024 "CONSULENZA AZ.LE E GIURIDICA"
M 19 22.68 5.35 23.13 51.16 66.064 "CONSULENZA AZ.LE E GIURIDICA"
F 19 20.91 14.25 23.57 58.73 66.092 ECONOMIA
M 19 24.01 16.04 26.24 66.29 66.116 "CONSULENZA AZ.LE E GIURIDICA"
F 19 19.57 18.24 19.57 57.39 66.156 "MARKETING E GEST. IMPRESE"
F 19 8.05 17.37 12.49 37.92 66.168 "ECONOMIA GEST. SERV. TURISTICI"
F 19 27.12 12.03 25.79 64.93 66.172 "ECONOMIA E FINANZA"
M 19 25.35 10.24 16.03 51.61 66.244 ECONOMIA
F 19 13.81 15.6 10.28 39.69 66.276 "ECONOMIA E FINANZA"
M 21 18.24 10.28 14.27 42.79 66.316 "ECONOMIA GEST. SERV. TURISTICI"
F 19 18.68 7.6 12.04 38.32 66.328 "ECONOMIA AZIENDALE"
M 19 20.91 22.24 10.23 53.37 66.348 "MARKETING E GEST. IMPRESE"
F 19 13.8 15.15 20.01 48.96 66.384 "ECONOMIA AZIENDALE"
F 19 19.15 12.05 10.28 41.48 66.392 ECONOMIA
F 19 23.13 3.13 18.25 44.52 66.408 "ECONOMIA AZIENDALE"
F 19 16.03 8.93 19.57 44.53 66.412 "AMMINISTRAZIONE E CONTROLLO"
M 21 1.36 23.57 15.15 40.08 66.432 "MARKETING E GEST. IMPRESE"
M 19 19.59 16.92 23.13 59.64 66.456 ECONOMIA
F 19 14.25 12.93 16.04 43.23 66.492 "CONSULENZA AZ.LE E GIURIDICA"
M 19 24.01 8.91 25.35 58.27 66.508 "MARKETING E GEST. IMPRESE"
M 19 24.01 8.91 25.35 58.27 66.508 "ECONOMIA GEST. SERV. TURISTICI"
F 19 19.13 20.47 18.69 58.29 66.516 "MARKETING E GEST. IMPRESE"
F 19 24.01 5.81 16.47 46.29 66.516 "ECONOMIA AZIENDALE"
F 19 19.57 15.13 19.13 53.84 66.536 "MARKETING E GEST. IMPRESE"
M 19 16.01 10.24 14.25 40.51 66.604 "CONSULENZA AZ.LE E GIURIDICA"
M 19 22.69 19.15 22.69 64.53 66.612 ECONOMIA
M 20 26.23 9.37 23.12 58.72 66.688 "ECONOMIA AZIENDALE"
M 19 12.91 18.68 13.79 45.37 66.748 "ECONOMIA E FINANZA"
F 20 27.56 9.35 28 64.91 66.764 "CONSULENZA AZ.LE E GIURIDICA"
F 19 12.91 17.36 13.8 44.07 66.828 "AMMINISTRAZIONE E CONTROLLO"
F 19 17.36 17.81 20.92 56.09 66.836 "MARKETING E GEST. IMPRESE"
M 19 28.89 10.69 19.57 59.16 66.864 "MARKETING E GEST. IMPRESE"
M 21 20.92 22.69 15.6 59.21 66.884 "MARKETING E GEST. IMPRESE"
F 19 21.79 16.91 23.57 62.27 66.908 "ECONOMIA E FINANZA"
F 19 23.12 6.28 20.92 50.32 66.928 "ECONOMIA AZIENDALE"
M 19 17.35 13.37 27.12 57.84 66.936 "MARKETING E GEST. IMPRESE"
F 19 8.47 20.47 4.95 33.88 66.952 "ECONOMIA E FINANZA"
F 19 17.33 4.45 18.25 40.04 67.016 "MARKETING E GEST. IMPRESE"
M 19 26.24 19.59 25.79 71.61 67.044 "ECONOMIA AZIENDALE"
M 19 17.8 26.68 22.68 67.16 67.064 "MARKETING E GEST. IMPRESE"
F 19 12.45 14.69 16.04 43.19 67.076 "MARKETING E GEST. IMPRESE"
M 19 27.12 12.92 21.35 61.39 67.156 "ECONOMIA AZIENDALE"
F 19 23.12 21.8 16.47 61.39 67.156 "MARKETING E GEST. IMPRESE"
M 19 22.24 18.25 19.59 60.08 67.232 "MARKETING E GEST. IMPRESE"
M 19 16.03 9.81 22.24 48.08 67.232 "ECONOMIA AZIENDALE"
F 19 15.13 12.04 20.92 48.09 67.236 "ECONOMIA GEST. SERV. TURISTICI"
M 19 20.45 17.81 17.36 55.63 67.252 "MARKETING E GEST. IMPRESE"
F 19 24.47 18.69 8.05 51.21 67.284 "MARKETING E GEST. IMPRESE"
M 19 13.8 12.03 20.91 46.73 67.292 "MARKETING E GEST. IMPRESE"
F 19 14.69 7.15 12.92 34.76 67.304 ECONOMIA
F 19 8.92 20.47 16.04 45.43 67.372 "MARKETING E GEST. IMPRESE"
M 19 18.24 9.36 13.37 40.97 67.388 "AMMINISTRAZIONE E CONTROLLO"
M 23 9.37 13.37 10.72 33.47 67.388 "CONSULENZA AZ.LE E GIURIDICA"
F 19 14.69 18.25 8.04 40.99 67.396 ECONOMIA
M 19 14.68 12.47 21.35 48.49 67.396 "MARKETING E GEST. IMPRESE"
F 20 13.36 14.24 20.91 48.51 67.404 "MARKETING E GEST. IMPRESE"
F 19 19.13 17.79 14.71 51.63 67.452 "AMMINISTRAZIONE E CONTROLLO"
F 19 19.13 17.79 14.71 51.63 67.452 "ECONOMIA GEST. SERV. TURISTICI"
F 19 10.27 19.15 17.81 47.23 67.492 "MARKETING E GEST. IMPRESE"
M 19 27.12 7.59 23.13 57.84 67.536 "ECONOMIA AZIENDALE"
M 19 20.45 13.79 7.13 41.37 67.548 ECONOMIA
M 19 20.89 27.12 17.36 65.37 67.548 "MARKETING E GEST. IMPRESE"
M 19 33.33 17.79 17.36 68.48 67.592 "MARKETING E GEST. IMPRESE"
M 19 20.91 23.13 24.47 68.51 67.604 "ECONOMIA E FINANZA"
F 19 20.47 4.92 20.91 46.29 67.716 "MARKETING E GEST. IMPRESE"
F 19 19.57 12.04 17.81 49.43 67.772 ECONOMIA
F 19 21.33 6.69 16.91 44.93 67.772 "MARKETING E GEST. IMPRESE"
F 19 20.01 20.01 24.45 64.48 67.792 ECONOMIA
M 19 14.69 16.91 20.89 52.49 67.796 "AMMINISTRAZIONE E CONTROLLO"
M 19 19.57 18.25 14.69 52.52 67.808 "ECONOMIA AZIENDALE"
F 19 25.79 15.56 26.23 67.57 67.828 "ECONOMIA GEST. SERV. TURISTICI"
M 20 28.89 17.36 21.36 67.61 67.844 "MARKETING E GEST. IMPRESE"
M 19 24.89 14.24 22.68 61.81 67.924 ECONOMIA
F 21 19.12 8.04 22.68 49.84 67.936 "ECONOMIA GEST. SERV. TURISTICI"
F 19 21.8 10.71 17.36 49.87 67.948 "MARKETING E GEST. IMPRESE"
M 20 19.13 18.25 20.03 57.41 67.964 "MARKETING E GEST. IMPRESE"
M 19 28.89 14.69 12.45 56.04 68.016 "ECONOMIA AZIENDALE"
F 19 12.48 11.16 12.93 36.57 68.028 "MARKETING E GEST. IMPRESE"
M 19 26.24 9.39 20.47 56.09 68.036 "ECONOMIA E FINANZA"
M 19 23.56 15.57 15.59 54.72 68.088 "MARKETING E GEST. IMPRESE"
M 19 13.36 2.23 22.68 38.27 68.108 "AMMINISTRAZIONE E CONTROLLO"
M 19 14.71 8.48 19.59 42.77 68.108 "ECONOMIA E FINANZA"
F 19 20.03 22.69 22.69 65.41 68.164 "ECONOMIA AZIENDALE"
F 19 12.45 18.68 17.79 48.92 68.168 "MARKETING E GEST. IMPRESE"
M 19 16.04 14.71 10.69 41.44 68.176 "ECONOMIA AZIENDALE"
M 19 16.91 20.92 23.13 60.96 68.184 "MARKETING E GEST. IMPRESE"
M 20 21.8 21.36 25.35 68.51 68.204 "CONSULENZA AZ.LE E GIURIDICA"
F 19 24.01 15.15 19.13 58.29 68.316 ECONOMIA
F 19 16.47 19.15 22.69 58.31 68.324 "MARKETING E GEST. IMPRESE"
F 19 25.79 3.12 12.92 41.83 68.332 "ECONOMIA AZIENDALE"
M 19 24.01 17.81 24.01 65.84 68.336 "MARKETING E GEST. IMPRESE"
F 19 12.47 14.27 15.15 41.88 68.352 "ECONOMIA E FINANZA"
M 19 20.03 14.71 19.15 53.88 68.352 ECONOMIA
M 19 19.15 19.15 15.6 53.89 68.356 "ECONOMIA AZIENDALE"
M 19 18.69 24.01 9.8 52.51 68.404 "ECONOMIA AZIENDALE"
F 19 19.15 13.83 22.69 55.67 68.468 "MARKETING E GEST. IMPRESE"
F 19 18.24 13.8 19.13 51.17 68.468 "MARKETING E GEST. IMPRESE"
M 19 21.8 14.69 17.8 54.29 68.516 "MARKETING E GEST. IMPRESE"
F 19 19.57 4.47 9.37 33.41 68.564 "ECONOMIA AZIENDALE"
M 19 16.91 7.16 16.92 40.99 68.596 "ECONOMIA E FINANZA"
F 19 25.79 10.71 24.01 60.51 68.604 "ECONOMIA E FINANZA"
M 19 21.35 19.59 22.69 63.63 68.652 "MARKETING E GEST. IMPRESE"
M 25 14.25 16.92 16.04 47.21 68.684 "CONSULENZA AZ.LE E GIURIDICA"
M 19 14.69 12.49 15.6 42.79 68.716 "ECONOMIA GEST. SERV. TURISTICI"
M 19 16.92 26.68 26.23 69.83 68.732 "MARKETING E GEST. IMPRESE"
F 19 24.45 8.47 23.57 56.49 68.796 "MARKETING E GEST. IMPRESE"
M 19 20.47 12.47 19.13 52.07 68.828 "MARKETING E GEST. IMPRESE"
F 19 12.47 15.59 12.04 40.09 68.836 ECONOMIA
M 21 28.89 8.45 22.24 59.59 68.836 "MARKETING E GEST. IMPRESE"
M 20 21.8 26.24 26.68 74.72 68.888 "MARKETING E GEST. IMPRESE"
F 19 20.01 12.45 13.81 46.28 68.912 "MARKETING E GEST. IMPRESE"
F 19 21.35 19.13 12.01 52.49 68.996 "MARKETING E GEST. IMPRESE"
F 19 16.47 18.69 17.36 52.52 69.008 ECONOMIA
F 19 24.91 24.01 18.69 67.61 69.044 "ECONOMIA AZIENDALE"
F 19 9.35 21.35 16.03 46.72 69.088 "ECONOMIA AZIENDALE"
M 19 23.12 9.36 14.25 46.73 69.092 "MARKETING E GEST. IMPRESE"
F 19 10.24 9.8 14.69 34.73 69.092 "ECONOMIA AZIENDALE"
M 20 30.67 22.69 24.91 78.27 69.108 "MARKETING E GEST. IMPRESE"
F 21 20.91 9.35 24.01 54.27 69.108 "ECONOMIA E FINANZA"
F 19 13.81 9.39 7.13 30.33 69.132 "MARKETING E GEST. IMPRESE"
F 19 20.47 14.25 27.12 61.84 69.136 "CONSULENZA AZ.LE E GIURIDICA"
M 19 22.23 21.36 21.35 64.93 69.172 "ECONOMIA AZIENDALE"
F 19 20.92 17.37 19.15 57.44 69.176 "MARKETING E GEST. IMPRESE"
F 20 29.79 11.57 26.68 68.04 69.216 "ECONOMIA E FINANZA"
M 19 28.01 17.37 22.69 68.08 69.232 "ECONOMIA AZIENDALE"
F 19 17.35 19.57 22.24 59.16 69.264 "MARKETING E GEST. IMPRESE"
M 19 25.35 27.56 25.79 78.69 69.276 "MARKETING E GEST. IMPRESE"
F 19 30.67 15.15 8.91 54.72 69.288 "MARKETING E GEST. IMPRESE"
M 19 24.91 14.71 18.25 57.87 69.348 ECONOMIA
M 19 25.79 19.56 20.03 65.37 69.348 "MARKETING E GEST. IMPRESE"
M 19 24.45 20.01 24.01 68.48 69.392 "ECONOMIA AZIENDALE"
F 20 15.6 10.28 15.6 41.48 69.392 "ECONOMIA AZIENDALE"
F 19 16.03 20.92 12.04 48.99 69.396 "MARKETING E GEST. IMPRESE"
F 19 24.91 21.8 21.8 68.51 69.404 "MARKETING E GEST. IMPRESE"
F 19 12.91 13.81 20.91 47.63 69.452 "MARKETING E GEST. IMPRESE"
F 19 19.12 4.91 19.13 43.16 69.464 "MARKETING E GEST. IMPRESE"
F 19 20.92 19.15 22.69 62.76 69.504 "ECONOMIA AZIENDALE"
M 20 24.91 20.47 20.47 65.84 69.536 "MARKETING E GEST. IMPRESE"
F 19 10.71 26.24 4.92 41.87 69.548 "ECONOMIA GEST. SERV. TURISTICI"
F 19 20.47 17.81 23.13 61.41 69.564 "CONSULENZA AZ.LE E GIURIDICA"
F 19 12.48 12.93 13.83 39.24 69.696 "ECONOMIA E FINANZA"
F 19 21.36 24.47 20.47 66.29 69.716 "MARKETING E GEST. IMPRESE"
F 19 15.57 17.36 21.36 54.29 69.716 "MARKETING E GEST. IMPRESE"
F 19 13.37 15.6 17.81 46.79 69.716 "CONSULENZA AZ.LE E GIURIDICA"
M 19 24.91 10.69 18.69 54.29 69.716 "MARKETING E GEST. IMPRESE"
M 19 19.13 11.15 24.01 54.29 69.716 "ECONOMIA AZIENDALE"
M 19 27.56 25.35 20.92 73.83 69.732 "ECONOMIA E FINANZA"
F 19 18.25 25.79 25.35 69.39 69.756 "MARKETING E GEST. IMPRESE"
F 19 12.47 12.04 0 24.51 69.804 "ECONOMIA GEST. SERV. TURISTICI"
F 19 23.57 18.69 16.91 59.17 69.868 "MARKETING E GEST. IMPRESE"
F 19 26.24 19.15 13.83 59.21 69.884 "MARKETING E GEST. IMPRESE"
M 19 23.57 13.36 25.35 62.28 69.912 "MARKETING E GEST. IMPRESE"
F 19 10.28 4.96 15.6 30.84 69.936 "ECONOMIA GEST. SERV. TURISTICI"
M 20 28.45 18.68 21.36 68.49 69.996 ECONOMIA
F 19 24.91 20.92 22.69 68.52 70.008 "ECONOMIA AZIENDALE"
F 19 21.8 9.8 23.56 55.16 70.064 "ECONOMIA E FINANZA"
M 20 25.35 8.91 20.92 55.17 70.068 "ECONOMIA AZIENDALE"
M 19 27.56 21.8 25.35 74.71 70.084 "ECONOMIA AZIENDALE"
M 19 27.56 18.25 16.92 62.73 70.092 "CONSULENZA AZ.LE E GIURIDICA"
M 19 23.12 10.23 16.01 49.36 70.144 "ECONOMIA E FINANZA"
M 19 21.79 15.59 24.01 61.39 70.156 "MARKETING E GEST. IMPRESE"
F 19 24.01 18.68 21.8 64.49 70.196 "MARKETING E GEST. IMPRESE"
F 19 23.57 19.12 21.8 64.49 70.196 "ECONOMIA GEST. SERV. TURISTICI"
M 21 19.13 7.57 13.81 40.52 70.208 "CONSULENZA AZ.LE E GIURIDICA"
F 19 14.25 19.15 26.68 60.08 70.232 "AMMINISTRAZIONE E CONTROLLO"
F 19 16.03 17.81 21.8 55.64 70.256 "MARKETING E GEST. IMPRESE"
M 19 23.56 14.24 20.91 58.71 70.284 "ECONOMIA E FINANZA"
M 19 23.56 14.24 20.91 58.71 70.284 "ECONOMIA GEST. SERV. TURISTICI"
